,slow_speed_0_avg,slow_speed_0_std,slow_speed_1_avg,slow_speed_1_std,slow_speed_2_avg,slow_speed_2_std,slow_speed_3_avg,slow_speed_3_std,slow_speed_4_avg,slow_speed_4_std,slow_speed_5_avg,slow_speed_5_std,slow_speed_6_avg,slow_speed_6_std,slow_speed_7_avg,slow_speed_7_std,slow_speed_8_avg,slow_speed_8_std,slow_speed_9_avg,slow_speed_9_std
0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0,271.0,0.0
0.1,325.9,32.358770063152896,272.8,2.8913664589601917,273.8,1.8867962264113207,272.7,1.7349351572897473,272.1,1.57797338380595,271.3,1.1,273.6,1.5620499351813308,272.4,2.1071307505705477,273.0,2.0,273.2,2.315167380558045
0.2,348.5,4.863126566315131,273.3,2.9,272.2,1.9390719429665315,271.5,1.6278820596099706,272.1,2.3000000000000003,272.3,2.2825424421026654,272.1,1.5132745950421556,272.9,1.8681541692269403,271.2,2.315167380558045,273.7,2.325940669922601
0.30000000000000004,346.5,7.1449282711585,278.5,6.786015030929419,272.3,2.368543856465402,272.8,1.5362291495737217,273.0,2.280350850198276,272.0,2.0976176963403033,272.0,2.5298221281347035,272.2,1.8330302779823358,273.2,2.2715633383201093,273.4,1.42828568570857
0.4,349.5,5.481788029466299,286.5,7.074602462329597,271.1,2.1656407827707715,272.3,2.0024984394500787,270.9,2.6627053911388696,271.2,1.7204650534085253,271.4,2.0591260281974,273.2,1.1661903789690602,273.0,2.449489742783178,273.6,1.9595917942265426
0.5,353.2,7.138627319029899,289.5,2.7658633371878665,272.2,2.2715633383201093,272.6,1.4966629547095764,271.7,2.4515301344262523,271.9,2.022374841615669,273.5,1.5652475842498528,272.3,2.368543856465402,273.0,1.4832396974191326,272.8,1.661324772583615
0.6000000000000001,349.5,5.6964901474504455,296.3,4.733920151417849,273.8,2.4,272.5,2.29128784747792,273.3,1.676305461424021,271.6,1.9595917942265426,272.0,2.23606797749979,272.5,1.857417562100671,271.4,2.244994432064365,273.2,2.2715633383201093
0.7000000000000001,354.9,5.430469592954186,303.6,8.027452896155792,275.8,2.7856776554368237,273.3,1.7349351572897473,271.6,2.2,272.7,1.7916472867168918,271.4,1.562049935181331,273.4,1.7435595774162693,273.3,2.0024984394500787,273.4,0.9165151389911681
0.8,351.6,6.437390775772433,303.7,4.733920151417849,274.0,2.23606797749979,272.4,1.624807680927192,272.5,2.3769728648009427,271.8,1.5362291495737217,272.0,2.1447610589527217,271.9,2.5475478405713994,271.0,1.7888543819998317,273.0,1.7888543819998317
0.9,349.8,4.728636167014756,307.9,1.8138357147217055,275.2,1.7776388834631178,272.7,1.4177446878757827,272.8,1.077032961426901,272.6,1.854723699099141,271.4,2.0099751242241783,272.6,1.2806248474865698,272.0,1.0,273.6,1.2806248474865698
1.0,343.0,0.0,309.0,0.0,273.0,0.0,273.0,0.0,273.0,0.0,275.0,0.0,276.0,0.0,272.0,0.0,271.0,0.0,275.0,0.0
